Title,Abstract,University,Country,Index_authors,Keywords,PublicationName,Publisher,Subject_Area,Subject_Area_CodeType,Citation_Type,Citation_Number,Reference_number,Year
Intracellular Delivery of β-Galactosidase Enzyme Using Arginase-Responsive Dextran Sulfate/Poly- l -arginine Capsule for Lysosomal Storage Disorder,"© 2017 American Chemical Society.β-Galactosidase (β-gal) is one of the important lysosomal enzymes that is involved in the breakdown of glycosphingolipids (e.g., GM1 ganglioside), and its deficiency leads to GM1 Gangliosidosis, a lysosomal storage disorder (LSD). Intracellular delivery of β-gal is one of the preferable methods to treat this kind of LSDs. However, it cannot permeate the cell membrane due to its intricate macromolecular nature, low stability, and degradation by endogenous proteases. To this end, we report efficient intracellular delivery of β-gal via arginase-responsive dextran sulfate/poly-l-arginine polymer capsules (DS/PA capsules). The therapeutic activity of β-gal enzyme has been assessed in two gene-deficient diseased cell lines, SV (β-galactosidase gene-deficient mouse fibroblast) and R201C (deficient human β-galactosidase gene-introduced mouse fibroblast), and in wild-type mouse fibroblast immortalized cell lines. The activity of β-gal enzyme has been estimated within cells by using fluorescein isothiocyanate-cholera toxin B as a florescent probe that illustrates the level of GM1 ganglioside, the β-gal substrate. We found 1.8-, 3.4-, and 2.8-fold reduction in the substrate level in R201C, SV, and wild-type mouse fibroblast, respectively, which confirms the release and therapeutic activity of β-gal enzyme inside the cells. Moreover, enzyme delivery in gene-deficient diseased cell lines (SV and R201C) via DS/PA capsules reduced the level of enzyme substrate to a normal endogenous level, which is present in untreated wild-type mouse fibroblast cells. We note that loading of β-gal enzyme within DS/PA capsules was estimated to be 3 mU per hundred capsules and more than 77% of β-gal is released within 12 h. Overall, these results highlight the potential of DS/PA capsules as an efficient delivery carrier for therapeutic enzyme.","['Chhatrapati Shahu Ji Maharaj University', 'Centre for Environmental Science &amp; Engineering', 'Sam Higginbottom University of Agriculture, Technology and Sciences']",['India'],"['Sivakumar S.', 'Gupta M.', 'Pandey H.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,8,46.0,2017
Versatile Controls of Microdomain Morphologies and Temperature Dependencies in Lamellar Spacing by Blending Diblock Copolymers Bearing Antisymmetric Compositions,"© 2017 American Chemical Society.The morphologies of the microphase-separated structures in the binary blends of diblock copolymers (AB/AB) have been studied intensively for the case of diblock copolymers bearing antisymmetric compositions with similar molecular weights. Here, the two diblock copolymers 1 and 2, of which compositions are 0.5 - x and 0.5 + x (0 < x < 0.5), respectively, were blended, and the morphology diagram was constructed in the plot of χZ vs the average composition of the A component, where χ is the interaction parameter between A and B segments and Z is the average degree of polymerization of the two AB diblock copolymers. The temperature-dependent morphologies were analyzed by synchrotron small-angle X-ray scattering (SAXS) measurements. It was found that the morphology diagram agrees in principle with the theoretical one for the neat AB diblocks by Matsen and Bates (Macromolecules 1996, 29, 1091-1098), although the disordered phase was a bit expanded in the experimentally determined morphology diagram. Anomalous temperature dependencies in the lamellar spacing have been also comprehensively studied for the binary blends of antisymmetric diblock copolymers as a function of the degree of compositional asymmetry by closely adjusting the average composition in the blend specimen at 0.50. For this purpose, more than 20 neat diblock copolymers have been synthesized with a wide range of compositions from 0.20 to 0.87 and a range of molecular weight of 12000-33800. The temperature dependencies of the lamellar spacing were also analyzed by synchrotron SAXS measurements. As a result, the following things were found. The scaling exponent α in D ∼ Tα was still negative but slightly larger than the usual value (i.e., α = -0.33) for the smaller degree of asymmetry in the composition (i.e., x is small), while α became positive for the higher degree of asymmetry. The latter result is very anomalous because the temperature dependence is opposite (i.e., the lamellar spacing increases with an increase of temperature). The value of α was found to be linearly rationalized with the degree of asymmetry τ (which is especially introduced in the current paper for this purpose), for the binary blends with the average composition of 0.50. Based on this result, one can prepare lamellar microdomains, of which spacing does not change with temperature, by blending two diblock copolymers with τ = 1.33 (corresponding to 0.3 and 0.7 of compositions) having similar molecular weights. This would be important for manufacturing materials with properties (for instance, the optical property) independent of temperature. From the current study, the binary blends of the antisymmetric diblock copolymers are concluded to be versatile such that the precise controls of the morphologies and the temperature dependencies of the lamellar microdomains are plausible.","['Nagoya Institute of Technology', 'Kyoto Institute of Technology', 'Kyoto University']",['Japan'],"['Sakurai S.', 'Yamamoto K.', 'Yasui A.', 'Fukuhara J.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,1,63.0,2017
Electricity on Rubber Surfaces: A New Energy Conversion Effect,"© 2017 American Chemical Society.This work describes the conversion of mechanical energy to electricity, by periodically stretching rubber tubing and allowing it to relax. The rubber surface shows periodic and reversible electrostatic potential variations, in phase with the tubing length. The potential change depends on the elastomer used: silicone loses charge when stretched and becomes strongly negative when relaxed, whereas the stretched natural rubber is positive, becoming negative when relaxed. Every other elastomeric material that was tested also showed periodic potential but followed different patterns. When the motion stops, the potential on the resting samples decreases quickly to zero. The potential oscillation amplitude decreases when the relative humidity decreases from 65 to 27%, but it is negligible when the rubber tubing is previously swollen with water or paraffin oil. Elastomer charging patterns do not present the well-known characteristics of piezo-, flexo-, or triboelectricity, and they are discussed considering rubber rheology, wear, and surface properties, including the possibility of surface piezoelectricity. The following mechanism is suggested: rubber stretching provokes chemical and morphology changes in its surface, followed by a change in the surface concentration of H+ and OH- ions adsorbed along with water. The possibility of the occurrence of similar variations in other systems (both inert and biological) is discussed, together with its implications for energy scavenging from the environment.","['Universidade Federal de Santa Maria', 'Universidade Estadual de Campinas']",['Brazil'],"['Galembeck F.', 'Batista B.C.', 'Burgo T.A.L.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,15,57.0,2017
Sensing Cellular Metabolic Activity via a Molecular-Controlled Semiconductor Resistor,"© 2017 American Chemical Society.Over the last decade, we have developed a molecular-controlled semiconductor resistor (MOCSER) device that is highly sensitive to variations in its surface potentials. This device was applied as a molecular sensor both in the gas phase and in solutions. The device is based on an AlGaAs/GaAs structure. In the current work, we developed an electronic biosensor for real-time, label-free monitoring of cellular metabolic activity by culturing HeLa cells directly on top of the device's conductive channel. Several properties of GaAs make it attractive for developing biosensors, among others its high electron mobility and ability to control the device's properties by proper epitaxial growing. However, GaAs is very reactive and sensitive to oxidation in aqueous solutions, and its arsenic residues are highly toxic. Nevertheless, we have managed to overcome this inherent chemical instability by developing a surface-protecting layer using polymerized (3-mercaptopropyl)-trimethoxysilane (MPTMS). To improve cell adhesion and biocompatibility, the MPTMS-coated devices were further modified with an additional layer of (3-aminopropyl)-trimethoxysilane (APTMS). HeLa cells were found to grow successfully on these devices, and MOCSER devices cultured with these cells were stable and sensitive to cellular metabolic activity. The sensitivity of the MOCSER device results from the sensing of extracellular acidification in the microenvironment of the cell-MOCSER interspace. We have found that this sensitivity is maintained only when the device is partially covered with the cellular layer, whereas at full coverage the sensitivity is lost. This phenomenon is related to the negatively charged cellular membrane potentials that lead to a reduction in the channel's conductivity. We propose that the coated MOCSER device can be applied for real-time and continuous monitoring of cellular viability and activity.",['Weizmann Institute of Science Israel'],['Israel'],"['Ainbinder E.', 'Kolker Baravik I.', 'Naaman R.', 'Capua E.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,2,40.0,2017
Probing Stress-Induced Optical Birefringence of Glassy Polymers by Whispering Gallery Modes Light Localization,"© 2017 American Chemical Society.An optical resonance method for the determination of the strain- and stress-optical coefficients of optically transparent polymers is presented and exemplified for monodisperse and bidisperse molecular weight polystyrene (PS). This method employs whispering gallery modes (WGMs) resonation inside a spheroid polymeric cavity, suspended on an optical fiber taper waist, which, in turn, is used for subjecting the polymeric resonator to controlled strain conditions. The wavelength shifts of equal order transverse electric and transverse magnetic polarization WGMs are measured, as well as their relative birefringence versus applied strain. For monodisperse PS microspheroids (2 and 50 kDa) the stress-optical coefficient is negative, contrary to the results for bulk PS in the glassy state indicating different phenyl group orientation of the PS monomer with respect to the strain direction. In the bidisperse (2 and 50 kDa) spheroid with a symmetric monomer composition, local structural irregularities are probably responsible for the observed coupling between WGMs. The method possesses metrological capabilities for probing the molecular orientation of polymer-based resonators.","['University of Surrey', 'University of Crete', 'Institute of Electronic Structure and Laser of the Foundation for Research and Technology-Hellas', 'Max Planck Institute for Polymer Research']","['United Kingdom', 'Germany', 'Greece']","['Fytas G.', 'Aluculesei A.', 'Milenko K.', 'Gkantzounis G.', 'Pissadakis S.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,11,35.0,2017
High-Yield Production of Fatty Nitriles by One-Step Vapor-Phase Thermocatalysis of Triglycerides,"© 2017 American Chemical Society.Fatty nitriles are widely used as intermediate molecules in the pharmaceutical and polymer industries. In addition, hydrogenation of fatty nitriles produces fatty amines that are common surfactants. In the conventional fatty nitrile process, triglycerides are first hydrolyzed and the resulting fatty acids are catalytically reacted with NH3 in a liquid-phase reaction. In this study, we report a simpler one-step fatty nitrile production method that involves a direct vapor-phase reaction of triglycerides with NH3 in the presence of heterogeneous solid acid catalysts. The reactions were performed in a tubular reactor maintained at 400 °C into which triglycerides were injected through an atomizer to allow rapid volatilization and reaction; NH3 was fed as a gas. Several metal oxide catalysts were tested, and reactions in the presence of V2O5 resulted in near-theoretical fatty nitrile yields (84 wt % relative to the feed mass). In general, catalysts with higher acidity such as V2O5, Fe2O3, and ZnO showed higher fatty nitrile yields compared to low acidity catalysts such as ZrO, Al2O3, and CuO. Energy balance calculations indicate that the one-step reaction described here would require significantly lower energy than the conventional process primarily because of the elimination of the energy-intense triglyceride hydrolysis.","['Manhattan College', 'University of California, Riverside', 'The University of Toledo']",['United States'],"['Tafazolian H.', 'Heben M.J.', 'Varanasi S.', 'Song Z.', 'Viamajala S.', 'Shirazi Y.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,24,33.0,2017
Charge-Driven Interaction of Antimicrobial Peptide NK-2 with Phospholipid Membranes,"© 2017 American Chemical Society.NK-2, derived from a cationic core region of NK-lysin, displays antimicrobial activity toward negatively charged bacterial membranes. We have studied the interaction of NK-2 with various phospholipid membranes, using a variety of experimental techniques, such as, isothermal titration calorimetry (ITC), potential, and dynamic light scattering. As bacteria mimicking membranes, we have chosen large unilamellar vesicles (LUVs) composed of negatively charged phospholipid and neutral phospholipids. ITC and potential results show the stronger binding affinity of NK-2 to negatively charged membranes than to neutral membranes. Saturation of the isotherm, obtained from ITC, at a given lipid to NK-2 ratio, was found to be consistent with the charge compensation, determined from potential. A surface partition model with electrostatic contribution was used to estimate the intrinsic binding constant and other thermodynamical parameters of binding kinetics of NK-2. The size distribution of negatively charged LUV in the presence of NK-2 was found to increase drastically, indicating the presence of large aggregates. Such a large aggregate has not been observed in neutral membranes, which supports the ITC and potential results.",['Jadavpur University'],['India'],"['Karmakar S.', 'Halder A.', 'Maity P.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,16,35.0,2017
Drug-Triggered Self-Assembly of Linear Polymer into Nanoparticles for Simultaneous Delivery of Hydrophobic and Hydrophilic Drugs in Breast Cancer Cells,"© 2017 American Chemical Society.Breast cancer is the most devastating disease among females globally. Conventional chemotherapeutic regimen relies on the use of highly cytotoxic drugs as monotherapy and combination therapy leading to severe side effects to the patients as collateral damage. Moreover, combining hydrophobic and hydrophilic drugs create erratic biodistribution and suboptimal medicinal outcome. Hence, packaging multiple drugs of diverse mechanisms of action and biodistribution for safe delivery into tumor tissues with optimal dosages is indispensable for next-generation breast cancer therapy. To address these, in this report, we describe a unique cisplatin-triggered self-assembly of linear polymer into 3D-spherical sub 200 nm particles. These nanoparticles comprise a hydrophobic (paclitaxel) and hydrophilic drug (cisplatin) simultaneously in a single particle. Molecular dynamics simulation revealed hydrophilic-hydrophilic interaction and interchain H-bonding as underlying mechanisms of self-assembly. Confocal microscopy studies evidently demonstrated that these novel nanoparticles can home into lysosomes in breast cancer cells, fragment subcellular nuclei, and prevent cell division, leading to improved breast cancer cell death compared to free drug combination. Moreover, 3D-breast tumor spheroids were reduced remarkably by the treatment of these nanoparticles within 24 h. These dual-drug-loaded self-assembled polymeric nanoparticles have prospective to be translated into a clinical strategy for breast cancer patients.","['National Chemical Laboratory India', 'Indian Institute of Science Education and Research Pune']",['India'],"['Palvai S.', 'Lahiri M.', 'Basu S.', 'Sarkar S.', 'Anandi L.', 'Roy S.', 'Augustus M.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,12,59.0,2017
Discovery of SHR9352: A Highly Potent G Protein-Biased μ-Opioid Receptor Agonist,"© 2017 American Chemical Society.Recently, targeting the G protein-biased signaling has emerged as an attractive therapeutic strategy for treating severe acute pain with the potential to reduce the side effect of the traditional opioid drug. Herein, we describe the discovery of a highly potent G protein-biased μ-opioid receptor (MOR) agonist, SHR9352. This novel molecule exhibited excellent MOR activity and limited β-arrestin recruitment, as well as a high selectivity over κ-opioid receptor and δ-opioid receptor demonstrated robust in vivo efficacy and displayed favorable pharmacokinetic properties across species.","['Jiangsu Hengrui Medicine Co., Ltd.', 'Fudan University Shanghai Cancer Center', 'Shanghai Hengrui Pharmaceutical Co., Ltd.']",['China'],"['Feng J.', 'Yang G.', 'Wan H.', 'Zhang L.', 'Bai C.', 'Hu Q.', 'You L.', 'Li X.', 'He F.', 'Tao W.', 'Chen Y.', 'Zhang Z.', 'He W.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,12,23.0,2017
Resolution of Racemic Mixtures by Phase Transition of PEGylated Resolving Agents,"© 2017 American Chemical Society.A novel, efficient, and simple method for the resolution of racemic mixtures is presented in which PEGylated resolving agents are subjected to diastereomeric complex formation in alcohols. The resulting complexes then undergo temperature-assisted phase transition, affording a precipitate that is enriched in one enantiomer and separable by filtration. In an aqueous solution, phase transition can be caused by the methods used in the precipitation of poly(ethylene glycol) (e.g., addition of ammonium sulfate). A number of racemic amines have been successfully resolved using this method. The first cycle of resolution affords the amines with an optical purity of 72-85% from their corresponding racemic mixture in good yields (78-90%). An additional cycle improved the optical purity to 87-95%. The PEGylated resolving agents can be recovered and reutilized without the loss of resolution efficiency.","['Islamic Azad University, Science and Research Branch', 'University of Tehran', 'Arasto Pharmaceutical Chemicals Inc.']",['Iran'],"['Azarnoosh S.', 'Mokhtari J.', 'Karimian K.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,3,52.0,2017
Heptamethine Cyanine Dyes in the Design of Photoactive Carbon Nanomaterials,"© 2017 American Chemical Society.Near-infrared (NIR) absorbing nanomaterials, built from anionic heptamethine cyanine dyes and single-walled carbon nanotubes or few-layer graphene, are presented. The covalent linkage, using 1,3-dipolar cycloaddition reactions, results in nanoconjugates that synchronize the properties of both materials, as demonstrated by an in-depth characterization study carried out by transmission electron microscopy, atomic force microscopy, thermogravimetric analysis, Fourier transform infrared spectroscopy, and X-ray photoelectron spectroscopy. UV-vis-NIR and Raman spectroscopies further confirmed the unique electronic structure of the novel photoactive nanomaterials.","['Universidad del Pais Vasco', 'Universidad Complutense de Madrid', 'IMDEA Nanociencia', 'Ikerbasque, Basque Foundation for Science']",['Spain'],"['Villegas C.', 'Rodriguez-Perez L.', 'Delgado J.L.', 'Herranz M.A.', 'Martin N.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,6,33.0,2017
"Structure, Stability, and Kinetics of Vacancy Defects in Monolayer PtSe2: A First-Principles Study","© 2017 American Chemical Society.The recent epitaxial growth of monolayer PtSe2 has raised hope for its novel applications in valleytronic, spintronic, and energy-harvesting devices. Compared with 2H-phase transition-metal dichalcogenides, the 1T-phase PtSe2 is much less studied and this is especially true for its defects behaviors and their influence on electronic properties. In this article, we systemically explore the structure, stability, and kinetics of both Pt and Se vacancies in monolayer PtSe2 using first-principles calculations. By examining the relative energies of these vacancies, we identify the most stable Se/Pt single and double vacancies. In particular, we reveal a new type of Se double vacancy structure with the lowest energy. Energetically, both Se and Pt single vacancies prefer to combine to form double vacancies. All Se and Pt vacancies have remarkable influence on the electronic properties. Moreover, Pt single and double vacancies can introduce strong spin polarization in PtSe2, which may be promising for spintronic applications. These findings not only enrich the fundamental understanding of 1T-phase PtSe2 but also provide useful guidance to design PtSe2 for its optoelectronic and spintronic applications.","['A-Star, Institute of High Performance Computing', 'Northwestern Polytechnical University', 'National University of Singapore']","['China', 'Singapore']","['Hu X.', 'Zeng K.', 'Cheng Y.', 'Zhang G.', 'Tian T.', 'Gao J.', 'Zhang Y.-W.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,38,61.0,2017
Proposed Cesium-free Mineralization Method for Soil Decontamination: Demonstration of Cesium Removal from Weathered Biotite,"© 2017 American Chemical Society.The removal possibility of sorbed Cs from weathered biotite (WB), which is considered a major Cs adsorbent in the soil of Fukushima, has been investigated by the addition of an NaCl-CaCl2 mixed salt powder with a 1:1 ratio of Na and Ca and subsequent heat treatment under a reduced pressure of 14 Pa. X-ray fluorescence analysis was used to determine the Cs removal rate at elevated temperatures. The structural changes and new phases formed were determined using powder X-ray diffraction as well as electron diffraction and X-ray microanalysis in a transmission electron microscope. We found that Cs was completely removed from the specimen heated at 700 °C, where WB completely decomposed and augite was formed. On the basis of this finding, we propose the Cs-free mineralization method as a new soil-decontamination process in which Cs minerals are transformed by heating with certain additives into minerals that cannot incorporate Cs.","['The University of Tokyo', 'Japan Atomic Energy Agency']",['Japan'],"['Suzuki S.', 'Baba Y.', 'Shimoyama I.', 'Kogure T.', 'Honda M.', 'Yaita T.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,7,17.0,2017
Measuring and Predicting the Extraction Behavior of Biogenic Formic Acid in Biphasic Aqueous/Organic Reaction Mixtures,"© 2017 American Chemical Society.The distribution coefficients and selectivities required for extraction purposes were predicted with a thermodynamic equation of state for the ternary system formic acid/water/extraction solvent. These predictions were validated with experimental data from the literature and experimental data from the oxidation of biomass to formic acid process measured in this work. Extraction solvents discussed in this work are 1-butanol, 1-pentanol, 1-hexanol, 1-heptanol, 1-octanol, 1-decanol, ethyl n-butyl ether, diisopropyl ether, di-n-butyl ether, benzyl formate, and heptyl formate. The considered temperature ranged from 273 to 363 K under atmospheric pressure. Perturbed-chain statistical associating fluid theory (PC-SAFT) was used for prediction purposes applying an approach as simple as possible and as complex as necessary to achieve trustworthy data for selecting the best extraction solvent. Using PC-SAFT allowed identifying 1-hexanol as the most promising solvent out of the 11 extraction agents. The predicted data were in good agreement with the experimental distribution coefficients and the selectivities, which are very sensitive to experimental uncertainties.","['Technische Universität Dortmund', 'Friedrich-Alexander-Universität Erlangen-Nürnberg']",['Germany'],"['Veith H.', 'Held C.', 'Albert J.', 'Voges M.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,12,50.0,2017
Reversible Tuning of Ferromagnetism and Resistive Switching in ZnO/Cu Thin Films,"© 2017 American Chemical Society.Systematic magnetic, electronic, and electrical studies on the Cu0.04Zn0.96O/Ga0.01Zn0.99O cell structure grown on (001) sapphire by the pulsed laser deposition technique show that the Cu multivalent (CuM+) ions modulate magnetic and resistive states of the cells. The magnetic moment is found to be reduced by ∼30% during the high resistance state (HRS) to low resistance state (LRS) switching. X-ray photoelectron spectroscopy results reveals an increase of the Cu+/Cu2+ oxidation state ratio (which has been determined by the relative positions of the Fermi level and the Cu acceptor level) during the HRS to LRS transition. This decreases the effective spin-polarized Cu2+-Vö-Cu+ channels and thus the magnetic moment. A conduction mechanism involving the formation of conductive filaments from the coupling of the CuM+ ions and Vö has been suggested.","['The University of Hong Kong', 'National University of Sciences and Technology Pakistan', 'Quaid-i-Azam University', 'Pakistan Institute of Nuclear Science and Technology', 'HZDR - Helmholtz-Zentrum Dresden-Rossendorf']","['Hong Kong', 'Pakistan', 'Germany']","['Ling F.C.C.', 'Azad F.', 'Younas M.', 'Azeem W.', 'Arshad M.', 'Akhtar M.J.', 'Xu C.', 'Ho L.P.', 'Zhou S.', 'Su S.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Article,13,37.0,2017
